sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 17, 2026 20:38:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	      ADDs	       LUTs	    COMB4s	      RAMs	 DSP/MULTs
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_454c86596906436b9ebcc7aa91830401(ACTIVE_LOW=0)	      2(0)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_454c86596906436b9ebcc7aa91830401(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	      2(2)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_454c86596906436b9ebcc7aa91830401(ACTIVE_LOW=0)	      2(0)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_454c86596906436b9ebcc7aa91830401(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	      2(2)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_454c86596906436b9ebcc7aa91830401(FAMILY="TITANIUM",WR_DEPTH=8192,RDATA_WIDTH=128,WADDR_WIDTH=13,OUTPUT_REG=0,RAM_MUX_RATIO=16)	      0(0)	     0(0)	     0(0)	      0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_454c86596906436b9ebcc7aa91830401(SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",WR_DEPTH=8192,WADDR_WIDTH=13,ASYM_WIDTH_RATIO=8,RAM_MUX_RATIO=16,PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROGRAMMABLE_EMPTY="STATIC_SINGLE",PROG_EMPTY_ASSERT=127,PROG_EMPTY_NEGATE=128,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	   124(64)	     0(0)	   34(34)	    51(15)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_454c86596906436b9ebcc7aa91830401(WIDTH=10)	      0(0)	     0(0)	     0(0)	      9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_454c86596906436b9ebcc7aa91830401(ASYNC_STAGE=3,WIDTH=10,ACTIVE_LOW=0,OFF_ASSERTION=1)	    30(30)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=10)	      0(0)	     0(0)	     0(0)	      9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=9)	      0(0)	     0(0)	     0(0)	      8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=8)	      0(0)	     0(0)	     0(0)	      7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=7)	      0(0)	     0(0)	     0(0)	      6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=6)	      0(0)	     0(0)	     0(0)	      5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401	      0(0)	     0(0)	     0(0)	      4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=4)	      0(0)	     0(0)	     0(0)	      3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=3)	      0(0)	     0(0)	     0(0)	      2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=2)	      0(0)	     0(0)	     0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_454c86596906436b9ebcc7aa91830401(WIDTH=14)	      0(0)	     0(0)	     0(0)	      9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_454c86596906436b9ebcc7aa91830401(ASYNC_STAGE=3,WIDTH=14,ACTIVE_LOW=0,OFF_ASSERTION=1)	    30(30)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=14)	      0(0)	     0(0)	     0(0)	      9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=13)	      0(0)	     0(0)	     0(0)	      8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=12)	      0(0)	     0(0)	     0(0)	      7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=11)	      0(0)	     0(0)	     0(0)	      6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=10)	      0(0)	     0(0)	     0(0)	      5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=9)	      0(0)	     0(0)	     0(0)	      4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=8)	      0(0)	     0(0)	     0(0)	      3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=7)	      0(0)	     0(0)	     0(0)	      2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_454c86596906436b9ebcc7aa91830401(WIDTH=6)	      0(0)	     0(0)	     0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
  +Gen_RFIFO_16.u_R0_FIFO_16:R0_FIFO_16                     	    127(0)	     0(0)	    33(0)	     50(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_2dc8af36674543a39e756f2db581ca69(FAMILY="TITANIUM",SYNC_STAGE=3,MODE="FWFT",DATA_WIDTH=128,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,ASYM_WIDTH_RATIO=1)	    127(0)	     0(0)	    33(0)	     50(0)	     0(0)	     8(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_2dc8af36674543a39e756f2db581ca69(ACTIVE_LOW=0)	      2(0)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_2dc8af36674543a39e756f2db581ca69(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	      2(2)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_2dc8af36674543a39e756f2db581ca69(ACTIVE_LOW=0)	      2(0)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_2dc8af36674543a39e756f2db581ca69(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	      2(2)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_2dc8af36674543a39e756f2db581ca69(FAMILY="TITANIUM",RD_DEPTH=4096,WDATA_WIDTH=128,RDATA_WIDTH=16,RADDR_WIDTH=12,OUTPUT_REG=0,RAM_MUX_RATIO=8)	      0(0)	     0(0)	     0(0)	      0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_2dc8af36674543a39e756f2db581ca69(SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",RADDR_WIDTH=12,ASYM_WIDTH_RATIO=1,RAM_MUX_RATIO=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	   123(63)	     0(0)	   33(33)	    50(14)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_2dc8af36674543a39e756f2db581ca69(WIDTH=13)	      0(0)	     0(0)	     0(0)	      9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_2dc8af36674543a39e756f2db581ca69(ASYNC_STAGE=3,WIDTH=13,ACTIVE_LOW=0,OFF_ASSERTION=1)	    30(30)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=13)	      0(0)	     0(0)	     0(0)	      9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=12)	      0(0)	     0(0)	     0(0)	      8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=11)	      0(0)	     0(0)	     0(0)	      7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=10)	      0(0)	     0(0)	     0(0)	      6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=9)	      0(0)	     0(0)	     0(0)	      5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=8)	      0(0)	     0(0)	     0(0)	      4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=7)	      0(0)	     0(0)	     0(0)	      3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=6)	      0(0)	     0(0)	     0(0)	      2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69	      0(0)	     0(0)	     0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_2dc8af36674543a39e756f2db581ca69(WIDTH=10)	      0(0)	     0(0)	     0(0)	      9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_2dc8af36674543a39e756f2db581ca69(ASYNC_STAGE=3,WIDTH=10,ACTIVE_LOW=0,OFF_ASSERTION=1)	    30(30)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=10)	      0(0)	     0(0)	     0(0)	      9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=9)	      0(0)	     0(0)	     0(0)	      8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=8)	      0(0)	     0(0)	     0(0)	      7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=7)	      0(0)	     0(0)	     0(0)	      6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=6)	      0(0)	     0(0)	     0(0)	      5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69	      0(0)	     0(0)	     0(0)	      4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=4)	      0(0)	     0(0)	     0(0)	      3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=3)	      0(0)	     0(0)	     0(0)	      2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2dc8af36674543a39e756f2db581ca69(WIDTH=2)	      0(0)	     0(0)	     0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	    30(30)	     0(0)	   24(24)	    60(60)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	     44(0)	     0(0)	    81(0)	    138(0)	     0(0)	     0(0)	     0(0)	
  +enc_0:tmds_channel                                       	    15(15)	     0(0)	   27(27)	    46(46)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	    15(15)	     0(0)	   27(27)	    55(55)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	    14(14)	     0(0)	   27(27)	    37(37)	     0(0)	     0(0)	     0(0)	
