sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 24, 2026 23:47:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	       ADDs	       LUTs	    COMB4s	      RAMs	 DSP/MULTs
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=4)	      0(0)	     0(0)	      0(0)	      3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=3)	      0(0)	     0(0)	      0(0)	      2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=2)	      0(0)	     0(0)	      0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=13)	      0(0)	     0(0)	      0(0)	      9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_3a5a8130f9dc48d5847ad155af31e06b(ASYNC_STAGE=3,WIDTH=13,ACTIVE_LOW=0,OFF_ASSERTION=1)	    30(30)	     0(0)	      0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=13)	      0(0)	     0(0)	      0(0)	      9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=12)	      0(0)	     0(0)	      0(0)	      8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=11)	      0(0)	     0(0)	      0(0)	      7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=10)	      0(0)	     0(0)	      0(0)	      6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=9)	      0(0)	     0(0)	      0(0)	      5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=8)	      0(0)	     0(0)	      0(0)	      4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=7)	      0(0)	     0(0)	      0(0)	      3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b(WIDTH=6)	      0(0)	     0(0)	      0(0)	      2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3a5a8130f9dc48d5847ad155af31e06b	      0(0)	     0(0)	      0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
  +Gen_Transform.u_transform:axi_transform_reader(BASE_ADDR=32'b0)	  723(587)	     0(0)	  400(362)	 1019(898)	     0(0)	   15(15)	     6(6)	
   +u_div:unsigned_divider                                  	  136(136)	     0(0)	    38(38)	  121(121)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	    46(46)	     0(0)	    24(24)	    75(75)	     0(0)	     0(0)	     0(0)	
 +u_image_control:uart_image_control                        	  739(505)	     0(0)	   194(99)	1386(1141)	     0(0)	     0(0)	     4(4)	
  +u_rx:uart_rx                                             	    57(57)	     0(0)	      0(0)	    82(82)	     0(0)	     0(0)	     0(0)	
  +u_tx:uart_tx                                             	    46(46)	     0(0)	    33(33)	    64(64)	     0(0)	     0(0)	     0(0)	
  +u_up:key_debounce                                        	    36(36)	     0(0)	    31(31)	    46(46)	     0(0)	     0(0)	     0(0)	
  +u_down:key_debounce                                      	    36(36)	     0(0)	    31(31)	    46(46)	     0(0)	     0(0)	     0(0)	
  +u_threshold_cdc:threshold_cdc                            	    43(43)	     0(0)	      0(0)	      3(3)	     0(0)	     0(0)	     0(0)	
  +u_isp_cdc:threshold_cdc(WIDTH=3,RESET_VALUE=0)           	    16(16)	     0(0)	      0(0)	      4(4)	     0(0)	     0(0)	     0(0)	
 +u_video_processing:video_processing                       	   581(90)	   54(54)	    264(0)	   731(47)	     0(0)	    12(0)	     0(0)	
  +u_gray:video_rgb2gray                                    	    27(27)	     0(0)	      0(0)	      6(6)	     0(0)	     0(0)	     0(0)	
  +g_median_sobel.u_window_median:video_window3x3           	  132(132)	     0(0)	    22(22)	    48(48)	     0(0)	     6(6)	     0(0)	
  +g_median_sobel.u_median:video_median3x3                  	  110(110)	     0(0)	      0(0)	  393(122)	     0(0)	     0(0)	     0(0)	
   +u_sort_row0:sort3_8bit                                  	      0(0)	     0(0)	      0(0)	    79(79)	     0(0)	     0(0)	     0(0)	
   +u_sort_row1:sort3_8bit                                  	      0(0)	     0(0)	      0(0)	    82(82)	     0(0)	     0(0)	     0(0)	
   +u_sort_row2:sort3_8bit                                  	      0(0)	     0(0)	      0(0)	    59(59)	     0(0)	     0(0)	     0(0)	
   +u_sort_middle:sort3_8bit                                	      0(0)	     0(0)	      0(0)	    51(51)	     0(0)	     0(0)	     0(0)	
  +g_median_sobel.u_window_sobel:video_window3x3(MIN_VALID_XY=8)	  139(139)	     0(0)	    22(22)	    47(47)	     0(0)	     6(6)	     0(0)	
  +g_median_sobel.u_sobel:video_sobel                       	    83(83)	     0(0)	  220(220)	  190(190)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	     45(0)	     0(0)	     81(0)	    234(0)	     0(0)	     0(0)	     0(0)	
  +enc_0:tmds_channel                                       	    15(15)	     0(0)	    27(27)	    83(83)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	    15(15)	     0(0)	    27(27)	    73(73)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	    15(15)	     0(0)	    27(27)	    78(78)	     0(0)	     0(0)	     0(0)	
